年月日,日照時間(時間),日照時間(時間).1 / 現象なし情報,最深積雪(cm),最深積雪(cm).1 / 現象なし情報,平均風速(m/s),平均蒸気圧(hPa),平均湿度(％),平均海面気圧(hPa),平均現地気圧(hPa),平均雲量(10分比),平均気温(℃),合計全天日射量(MJ/㎡),降水量の合計(mm),降水量の合計(mm).1 / 現象なし情報,降雪量合計(cm),降雪量合計(cm).1 / 現象なし情報,最高気温(℃),最低気温(℃),最多風向(16方位),最大風速(m/s),最大風速(m/s).4 / 風向,最低海面気圧(hPa),最低海面気圧(hPa).1 / 現象なし情報,最小相対湿度(％),10分間降水量の最大(mm),10分間降水量の最大(mm).1 / 現象なし情報,最大瞬間風速(m/s),最大瞬間風速(m/s).4 / 風向,天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
2013/10/20,0.0,0,0.0,1,3.9,15.9,92.0,1019.1,1014.7,10.0,15.2,1.42,61.0,0,0.0,1,16.2,14.1,北北西,8.5,北,1013.2,0,84.0,5.5,0,15.2,北,大雨,雨後晴
2013/10/21,1.4,0,0.0,1,2.1,16.9,80.0,1014.5,1010.3,8.8,18.4,8.51,0.0,1,0.0,1,21.7,15.2,東北東,4.3,東北東,1011.9,0,64.0,0.0,1,7.7,北東,曇一時晴,曇
2013/10/22,0.0,0,0.0,1,2.7,15.8,74.0,1020.3,1016.0,10.0,18.6,4.47,0.0,1,0.0,1,20.5,16.9,北北東,4.6,北東,1017.3,0,64.0,0.0,1,8.6,北北東,曇,曇
2013/10/23,0.2,0,0.0,1,2.8,14.3,71.0,1023.6,1019.2,10.0,17.5,6.35,0.0,0,0.0,1,20.1,16.1,北北東,4.7,北東,1022.2,0,62.0,0.0,0,9.6,北北東,曇,曇
2013/10/24,0.0,0,0.0,1,2.8,15.1,83.0,1020.0,1015.6,10.0,16.0,3.37,2.0,0,0.0,1,17.5,15.1,北北西,4.4,北北西,1015.9,0,67.0,0.5,0,7.8,北北西,曇時々雨,曇一時雨
2013/10/25,0.0,0,0.0,1,2.3,19.2,93.0,1008.2,1003.9,10.0,18.0,4.53,14.0,0,0.0,1,20.4,15.7,北北西,5.6,北北西,1001.2,0,88.0,2.0,0,12.0,北北西,曇時々雨,雨
2013/10/26,0.3,0,0.0,1,3.1,14.7,84.0,1002.1,997.8,10.0,15.4,3.38,36.0,0,0.0,1,17.9,13.5,北北西,6.0,北北西,998.0,0,60.0,2.5,0,12.0,北,雨後曇,曇後晴
2013/10/27,9.8,0,0.0,1,3.4,9.8,53.0,1015.0,1010.6,2.0,16.6,16.23,0.0,1,0.0,1,21.1,12.0,北北西,7.4,北北西,1008.0,0,33.0,0.0,1,13.5,北北西,快晴,晴一時曇
2013/10/28,9.3,0,0.0,1,2.0,10.2,56.0,1025.2,1020.8,4.3,16.1,15.02,0.0,1,0.0,1,20.3,12.1,北北東,4.0,北北西,1021.6,0,37.0,0.0,1,6.5,北北西,晴,薄曇一時晴
2013/10/29,0.1,0,0.0,1,2.1,13.3,79.0,1024.7,1020.3,10.0,14.7,2.57,5.0,0,0.0,1,16.0,13.2,北北西,4.1,北北西,1021.5,0,67.0,1.0,0,6.8,北北西,曇後雨,曇時々雨
2013/10/30,7.1,0,0.0,1,2.2,14.1,69.0,1018.1,1013.8,6.3,18.0,12.89,0.0,0,0.0,1,22.1,14.9,北北西,6.5,北西,1015.0,0,52.0,0.0,0,10.3,北西,晴一時薄曇,晴一時曇
2013/10/31,7.8,0,0.0,1,2.1,11.1,55.0,1021.8,1017.5,4.3,17.8,13.49,0.0,1,0.0,1,21.5,13.8,北北東,4.1,西北西,1019.7,0,37.0,0.0,1,6.8,南南東,晴後一時曇,晴一時曇
2013/11/1,8.8,0,0.0,1,2.2,10.8,56.0,1024.9,1020.5,2.8,17.2,13.85,0.0,1,0.0,1,20.5,14.1,北,5.7,北北西,1023.4,0,37.0,0.0,1,10.0,北北西,晴,晴時々曇
2013/11/2,0.0,0,0.0,1,1.8,13.2,76.0,1024.8,1020.4,7.5,15.4,3.33,0.5,0,0.0,1,17.0,13.6,北北西,3.5,北北西,1021.3,0,61.0,0.5,0,5.7,北北西,曇後雨,曇
2013/11/3,2.4,0,0.0,1,1.4,14.5,74.0,1017.4,1013.0,10.0,17.4,8.55,0.0,0,0.0,1,21.0,15.2,北西,2.8,北北西,1013.2,0,53.0,0.0,0,4.5,北西,曇,曇時々雨
2013/11/4,0.9,0,0.0,1,2.0,14.5,76.0,1012.9,1008.6,9.0,16.6,4.55,5.0,0,0.0,1,18.4,15.0,北,4.3,東北東,1009.8,0,55.0,1.0,0,8.8,北北東,曇時々雨,晴
2013/11/5,9.6,0,0.0,1,2.5,9.2,51.0,1023.6,1019.2,0.5,16.0,13.92,0.0,1,0.0,1,19.7,13.2,南南東,4.7,北北西,1018.2,0,35.0,0.0,1,9.5,北北西,快晴,快晴
2013/11/6,7.4,0,0.0,1,3.0,10.7,59.0,1024.5,1020.1,4.5,16.0,12.65,0.0,1,0.0,1,20.7,11.0,南南西,6.9,南,1020.1,0,40.0,0.0,1,11.8,南南西,晴一時曇,曇後一時雨
2013/11/7,0.4,0,0.0,1,1.6,13.7,81.0,1014.1,1009.7,7.8,15.0,3.02,4.5,0,0.0,1,17.8,12.8,北北西,3.1,北西,1009.5,0,61.0,0.5,0,5.3,北北西,雨後曇一時晴,快晴
2013/11/8,8.9,0,0.0,1,2.9,9.0,50.0,1020.7,1016.3,3.8,16.5,13.73,0.0,1,0.0,1,21.5,12.3,北西,5.2,北北西,1013.9,0,27.0,0.0,1,9.9,北,晴,晴一時曇
2013/11/9,0.3,0,0.0,1,2.3,10.1,66.0,1028.7,1024.2,7.8,13.3,3.93,0.0,0,0.0,1,15.1,11.8,北北西,5.0,北北西,1022.7,0,51.0,0.0,0,7.4,北西,曇,曇一時雨
2013/11/10,1.2,0,0.0,1,3.8,13.9,73.0,1009.5,1005.2,9.3,16.6,4.69,0.0,0,0.0,1,21.4,11.9,南,8.7,南南西,1003.3,0,59.0,0.0,0,16.1,南南西,曇,曇一時晴
