ダウンロードした時刻：2023/10/20 10:42:26

,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),平均風速(m/s),平均風速(m/s),平均風速(m/s),平均蒸気圧(hPa),平均蒸気圧(hPa),平均蒸気圧(hPa),平均湿度(％),平均湿度(％),平均湿度(％),平均海面気圧(hPa),平均海面気圧(hPa),平均海面気圧(hPa),平均現地気圧(hPa),平均現地気圧(hPa),平均現地気圧(hPa),平均雲量(10分比),平均雲量(10分比),平均雲量(10分比),平均気温(℃),平均気温(℃),平均気温(℃),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最多風向(16方位),最多風向(16方位),最多風向(16方位),最大風速(m/s),最大風速(m/s),最大風速(m/s),最大風速(m/s),最大風速(m/s),最大風速(m/s),最大風速(m/s),最低海面気圧(hPa),最低海面気圧(hPa),最低海面気圧(hPa),最低海面気圧(hPa),最低海面気圧(hPa),最低海面気圧(hPa),最低海面気圧(hPa),最小相対湿度(％),最小相対湿度(％),最小相対湿度(％),最小相対湿度(％),最小相対湿度(％),10分間降水量の最大(mm),10分間降水量の最大(mm),10分間降水量の最大(mm),10分間降水量の最大(mm),10分間降水量の最大(mm),10分間降水量の最大(mm),10分間降水量の最大(mm),最大瞬間風速(m/s),最大瞬間風速(m/s),最大瞬間風速(m/s),最大瞬間風速(m/s),最大瞬間風速(m/s),最大瞬間風速(m/s),最大瞬間風速(m/s),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時)
,,,,,,,,時分,時分,時分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,時分,時分,,,,時分,時分,,,,,,,時分,時分,風向,風向,,,,,時分,時分,時分,,,,時分,時分,,,,,時分,時分,時分,,,,時分,時分,風向,風向,,,,,,,
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,均質番号,,品質情報,,品質情報,,品質情報,均質番号,,現象なし情報,品質情報,,現象なし情報,品質情報,均質番号,,品質情報,,品質情報,均質番号,,現象なし情報,品質情報,,現象なし情報,品質情報,均質番号,,品質情報,,品質情報,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2016/10/20,10.0,0,8,1,0,1,8,,,,1,3.0,8,1,16.0,8,1,62,8,1,1013.3,8,1,1010.5,8,1,2.3,8,1,21.9,8,1,16.27,8,1,0.0,0,8,1,0,1,8,1,27.7,8,2016/10/20 14:42,8,1,17.0,8,2016/10/20 06:15,8,1,北西,8,1,6.7,8,2016/10/20 23:55,8,北西,8,1,1011.0,0,8,2016/10/20 13:53,0,8,1,35,8,2016/10/20 17:25,8,1,0.0,0,8,2016/10/20 02:53,0,8,1,13.1,8,2016/10/20 23:47,8,北西,8,1,快晴,8,1,晴,8,1
2016/10/21,4.9,0,8,1,0,1,8,,,,1,3.0,8,1,12.0,8,1,58,8,1,1017.7,8,1,1014.9,8,1,7.5,8,1,18.2,8,1,11.80,8,1,0,1,8,1,0,1,8,1,21.4,8,2016/10/21 11:47,8,1,15.4,8,2016/10/21 23:05,8,1,北北西,8,1,7.1,8,2016/10/21 00:12,8,北西,8,1,1014.8,0,8,2016/10/21 00:24,0,8,1,40,8,2016/10/21 05:36,8,1,0,1,8,2016/10/22 0:00,1,8,1,13.9,8,2016/10/21 00:49,8,北西,8,1,薄曇,8,1,曇,8,1
2016/10/22,0.1,0,8,1,0,1,8,,,,1,2.1,8,1,13.4,8,1,71,8,1,1014.8,8,1,1011.9,8,1,10.0,8,1,16.7,8,1,5.15,8,1,0.0,0,8,1,0,1,8,1,18.3,8,2016/10/22 14:50,8,1,14.7,8,2016/10/22 06:39,8,1,北北西,8,1,3.6,8,2016/10/22 05:22,8,北西,8,1,1009.1,0,8,2016/10/22 23:58,0,8,1,61,8,2016/10/22 11:58,8,1,0.0,0,8,2016/10/22 21:41,0,8,1,6.1,8,2016/10/22 02:53,8,北西,8,1,曇,8,1,曇,8,1
2016/10/23,4.8,0,8,1,0,1,8,,,,1,2.4,8,1,14.0,8,1,68,8,1,1009.5,8,1,1006.6,8,1,9.8,8,1,18.1,8,1,11.43,8,1,0.0,0,8,1,0,1,8,1,22.3,8,2016/10/23 12:26,8,1,14.7,8,2016/10/23 04:46,8,1,北北西,8,1,5.0,8,2016/10/23 22:36,8,北西,8,1,1007.5,0,8,2016/10/23 14:00,0,8,1,49,8,2016/10/23 23:48,8,1,0.0,0,8,2016/10/23 22:37,0,8,1,7.6,8,2016/10/23 22:30,8,西北西,8,1,曇一時晴,8,1,曇後時々晴,8,1
2016/10/24,9.8,0,8,1,0,1,8,,,,1,2.4,8,1,8.9,8,1,53,8,1,1016.9,8,1,1014.0,8,1,2.5,8,1,14.9,8,1,16.47,8,1,0,1,8,1,0,1,8,1,19.1,8,2016/10/24 13:59,8,1,11.9,8,2016/10/24 05:24,8,1,南,8,1,4.3,8,2016/10/24 23:59,8,北西,8,1,1012.1,0,8,2016/10/24 00:06,0,8,1,33,8,2016/10/24 12:49,8,1,0,1,8,2016/10/25 0:00,1,8,1,7.5,8,2016/10/24 08:35,8,北東,8,1,晴,8,1,快晴,8,1
2016/10/25,2.4,0,8,1,0,1,8,,,,1,2.0,8,1,11.7,8,1,73,8,1,1019.7,8,1,1016.7,8,1,6.3,8,1,14.0,8,1,6.70,8,1,1.0,0,8,1,0,1,8,1,17.2,8,2016/10/25 13:29,8,1,10.0,8,2016/10/25 05:28,8,1,北西,8,1,4.6,8,2016/10/25 00:11,8,北西,8,1,1014.3,0,8,2016/10/25 23:45,0,8,1,49,8,2016/10/25 00:32,8,1,0.5,0,8,2016/10/25 18:50,0,8,1,6.9,8,2016/10/25 00:09,8,北西,8,1,曇時々晴後時々雨,8,1,曇一時雨後一時晴,8,1
2016/10/26,9.6,0,8,1,0,1,8,,,,1,1.7,8,1,18.2,8,1,82,8,1,1013.1,8,1,1010.3,8,1,5.0,8,1,19.1,8,1,15.07,8,1,0.0,0,8,1,0,1,8,1,25.7,8,2016/10/26 12:00,8,1,12.6,8,2016/10/26 06:07,8,1,北北東,8,1,3.5,8,2016/10/26 15:20,8,南南東,8,1,1010.4,0,8,2016/10/26 14:54,0,8,1,56,8,2016/10/26 11:42,8,1,0.0,0,8,2016/10/26 23:18,0,8,1,5.5,8,2016/10/26 14:35,8,南南東,8,1,快晴,8,1,曇時々晴一時雨,8,1
