É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2023/10/20 10:42:07

,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû
îNåéì˙,ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ç≈ê[êœê·(cm),ç≈ê[êœê·(cm),ç≈ê[êœê·(cm),ç≈ê[êœê·(cm),ç≈ê[êœê·(cm),ç≈ê[êœê·(cm),ç≈ê[êœê·(cm),ïΩãœïóë¨(m/s),ïΩãœïóë¨(m/s),ïΩãœïóë¨(m/s),ïΩãœèˆãCà≥(hPa),ïΩãœèˆãCà≥(hPa),ïΩãœèˆãCà≥(hPa),ïΩãœéºìx(Åì),ïΩãœéºìx(Åì),ïΩãœéºìx(Åì),ïΩãœäCñ ãCà≥(hPa),ïΩãœäCñ ãCà≥(hPa),ïΩãœäCñ ãCà≥(hPa),ïΩãœåªínãCà≥(hPa),ïΩãœåªínãCà≥(hPa),ïΩãœåªínãCà≥(hPa),ïΩãœâ_ó (10ï™î‰),ïΩãœâ_ó (10ï™î‰),ïΩãœâ_ó (10ï™î‰),ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé),çáåvëSìVì˙éÀó (MJ/áu),çáåvëSìVì˙éÀó (MJ/áu),çáåvëSìVì˙éÀó (MJ/áu),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈ëΩïóå¸(16ï˚à ),ç≈ëΩïóå¸(16ï˚à ),ç≈ëΩïóå¸(16ï˚à ),ç≈ëÂïóë¨(m/s),ç≈ëÂïóë¨(m/s),ç≈ëÂïóë¨(m/s),ç≈ëÂïóë¨(m/s),ç≈ëÂïóë¨(m/s),ç≈ëÂïóë¨(m/s),ç≈ëÂïóë¨(m/s),ç≈í·äCñ ãCà≥(hPa),ç≈í·äCñ ãCà≥(hPa),ç≈í·äCñ ãCà≥(hPa),ç≈í·äCñ ãCà≥(hPa),ç≈í·äCñ ãCà≥(hPa),ç≈í·äCñ ãCà≥(hPa),ç≈í·äCñ ãCà≥(hPa),ç≈è¨ëäëŒéºìx(Åì),ç≈è¨ëäëŒéºìx(Åì),ç≈è¨ëäëŒéºìx(Åì),ç≈è¨ëäëŒéºìx(Åì),ç≈è¨ëäëŒéºìx(Åì),10ï™ä‘ç~êÖó ÇÃç≈ëÂ(mm),10ï™ä‘ç~êÖó ÇÃç≈ëÂ(mm),10ï™ä‘ç~êÖó ÇÃç≈ëÂ(mm),10ï™ä‘ç~êÖó ÇÃç≈ëÂ(mm),10ï™ä‘ç~êÖó ÇÃç≈ëÂ(mm),10ï™ä‘ç~êÖó ÇÃç≈ëÂ(mm),10ï™ä‘ç~êÖó ÇÃç≈ëÂ(mm),ç≈ëÂèuä‘ïóë¨(m/s),ç≈ëÂèuä‘ïóë¨(m/s),ç≈ëÂèuä‘ïóë¨(m/s),ç≈ëÂèuä‘ïóë¨(m/s),ç≈ëÂèuä‘ïóë¨(m/s),ç≈ëÂèuä‘ïóë¨(m/s),ç≈ëÂèuä‘ïóë¨(m/s),ìVãCäTãµ(íãÅF06éûÅ`18éû),ìVãCäTãµ(íãÅF06éûÅ`18éû),ìVãCäTãµ(íãÅF06éûÅ`18éû),ìVãCäTãµ(ñÈÅF18éûÅ`óÇì˙06éû),ìVãCäTãµ(ñÈÅF18éûÅ`óÇì˙06éû),ìVãCäTãµ(ñÈÅF18éûÅ`óÇì˙06éû)
,,,,,,,,éûï™,éûï™,éûï™,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,éûï™,éûï™,,,,éûï™,éûï™,,,,,,,éûï™,éûï™,ïóå¸,ïóå¸,,,,,éûï™,éûï™,éûï™,,,,éûï™,éûï™,,,,,éûï™,éûï™,éûï™,,,,éûï™,éûï™,ïóå¸,ïóå¸,,,,,,,
,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,,ïiéøèÓïÒ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,,ïiéøèÓïÒ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ
2020/10/20,7.7,0,8,1,0,1,8,,,,1,2.3,8,1,12.9,8,1,75,8,1,1024.9,8,1,1022.0,8,1,5.3,8,1,15.6,8,1,13.04,8,1,0,1,8,1,0,1,8,1,21.0,8,2020/10/20 14:19,8,1,10.5,8,2020/10/20 06:07,8,1,ñkñkêº,8,1,4.4,8,2020/10/20 14:13,8,ñkìå,8,1,1023.5,0,8,2020/10/20 00:43,0,8,1,48,8,2020/10/20 14:09,8,1,0,1,8,2020/10/21 0:00,1,8,1,8.1,8,2020/10/20 14:10,8,ñkñkìå,8,1,ì‹å„ê∞,8,1,ê∞,8,1
2020/10/21,7.5,0,8,1,0,1,8,,,,1,2.6,8,1,12.3,8,1,69,8,1,1025.2,8,1,1022.3,8,1,4.8,8,1,16.0,8,1,13.77,8,1,0.0,0,8,1,0,1,8,1,21.6,8,2020/10/21 13:11,8,1,11.9,8,2020/10/21 06:08,8,1,ñkñkìå,8,1,4.4,8,2020/10/21 15:36,8,ñkìå,8,1,1022.6,0,8,2020/10/21 23:58,0,8,1,42,8,2020/10/21 12:28,8,1,0.0,0,8,2020/10/22 0:00,0,8,1,8.1,8,2020/10/21 15:25,8,ñkìå,8,1,ê∞,8,1,ì‹àÍéûâJ,8,1
2020/10/22,3.0,0,8,1,0,1,8,,,,1,2.3,8,1,14.0,8,1,70,8,1,1018.1,8,1,1015.2,8,1,10.0,8,1,17.4,8,1,10.85,8,1,0.0,0,8,1,0,1,8,1,22.1,8,2020/10/22 12:40,8,1,14.2,8,2020/10/22 02:19,8,1,ñkñkêº,8,1,4.4,8,2020/10/22 03:35,8,ñkêº,8,1,1012.0,0,8,2020/10/22 23:56,0,8,1,54,8,2020/10/22 12:35,8,1,0.0,0,8,2020/10/22 16:44,0,8,1,7.5,8,2020/10/22 02:39,8,ñkêº,8,1,ì‹,8,1,ì‹,8,1
2020/10/23,0.0,0,8,1,0,1,8,,,,1,2.0,8,1,18.0,8,1,93,8,1,1003.4,8,1,1000.6,8,1,10.0,8,1,16.8,8,1,1.70,8,1,8.5,0,8,1,0,1,8,1,17.9,8,2020/10/23 16:27,8,1,14.3,8,2020/10/23 23:41,8,1,ñkñkêº,8,1,3.9,8,2020/10/23 13:24,8,ñkêº,8,1,999.2,0,8,2020/10/23 14:54,0,8,1,73,8,2020/10/23 23:51,8,1,1.0,0,8,2020/10/23 15:38,0,8,1,7.3,8,2020/10/24 0:00,8,êºñkêº,8,1,âJéûÅXì‹,8,1,ì‹éûÅXê∞àÍéûâJ,8,1
2020/10/24,7.8,0,8,1,0,1,8,,,,1,3.1,8,1,11.1,8,1,56,8,1,1005.6,8,1,1002.8,8,1,5.0,8,1,17.3,8,1,15.18,8,1,0,1,8,1,0,1,8,1,21.2,8,2020/10/24 14:31,8,1,12.7,8,2020/10/24 23:23,8,1,ñkêº,8,1,6.1,8,2020/10/24 07:36,8,ñkêº,8,1,1001.9,0,8,2020/10/24 00:20,0,8,1,39,8,2020/10/24 12:51,8,1,0,1,8,2020/10/25 0:00,1,8,1,11.8,8,2020/10/24 03:00,8,êºñkêº,8,1,ê∞,8,1,âıê∞,8,1
2020/10/25,8.4,0,8,1,0,1,8,,,,1,2.6,8,1,9.4,8,1,55,8,1,1012.6,8,1,1009.7,8,1,1.5,8,1,15.5,8,1,15.13,8,1,0,1,8,1,0,1,8,1,21.3,8,2020/10/25 12:13,8,1,11.4,8,2020/10/25 06:32,8,1,ñkêº,8,1,6.0,8,2020/10/25 09:53,8,ñkêº,8,1,1009.1,0,8,2020/10/25 00:06,0,8,1,30,8,2020/10/25 14:24,8,1,0,1,8,2020/10/26 0:00,1,8,1,9.6,8,2020/10/25 09:44,8,ñkêº,8,1,âıê∞,8,1,ê∞å„àÍéûîñì‹,8,1
2020/10/26,8.6,0,8,1,0,1,8,,,,1,2.0,8,1,11.5,8,1,65,8,1,1016.1,8,1,1013.3,8,1,6.3,8,1,16.2,8,1,14.69,8,1,0,1,8,1,0,1,8,1,22.9,8,2020/10/26 12:24,8,1,10.7,8,2020/10/26 04:45,8,1,ìÏìå,8,1,4.2,8,2020/10/26 12:14,8,ìÏìÏìå,8,1,1014.5,0,8,2020/10/26 14:01,0,8,1,32,8,2020/10/26 14:15,8,1,0,1,8,2020/10/27 0:00,1,8,1,7.6,8,2020/10/26 13:13,8,ìÏìÏìå,8,1,ê∞àÍéûì‹,8,1,ê∞éûÅXì‹,8,1
2020/10/27,6.0,0,8,1,0,1,8,,,,1,2.2,8,1,12.2,8,1,65,8,1,1019.3,8,1,1016.5,8,1,8.3,8,1,16.7,8,1,11.44,8,1,0,1,8,1,0,1,8,1,20.8,8,2020/10/27 13:47,8,1,13.3,8,2020/10/27 05:53,8,1,ñkñkêº,8,1,3.9,8,2020/10/27 09:32,8,ñkñkêº,8,1,1017.7,0,8,2020/10/27 14:24,0,8,1,49,8,2020/10/27 12:14,8,1,0,1,8,2020/10/28 0:00,1,8,1,7.0,8,2020/10/27 13:46,8,ìåìÏìå,8,1,ê∞éûÅXì‹,8,1,ê∞éûÅXì‹,8,1
2020/10/28,2.2,0,8,1,0,1,8,,,,1,1.7,8,1,13.8,8,1,73,8,1,1019.3,8,1,1016.4,8,1,8.0,8,1,16.6,8,1,7.89,8,1,0,1,8,1,0,1,8,1,20.2,8,2020/10/28 12:28,8,1,13.1,8,2020/10/28 03:42,8,1,ìÏ,8,1,3.6,8,2020/10/28 07:42,8,ñkêº,8,1,1016.3,0,8,2020/10/29 0:00,0,8,1,53,8,2020/10/28 14:06,8,1,0,1,8,2020/10/29 0:00,1,8,1,5.1,8,2020/10/28 19:22,8,ìÏ,8,1,ì‹,8,1,ì‹å„ê∞,8,1
